Row ID,From country,To country,Jury Points,Televote Points
1,Albania,Belgium,0,0
2,Albania,Czech Republic,0,0
3,Albania,The Netherlands,0,0
4,Albania,Azerbaijan,0,0
10,Albania,Germany,0,0
14,Albania,Cyprus,0,0
15,Albania,Serbia,0,0
17,Albania,Croatia,0,0
20,Albania,Latvia,0,0
23,Albania,Georgia,0,0
24,Albania,Austria,0,0
29,Armenia,The Netherlands,0,0
30,Armenia,Azerbaijan,0,0
32,Armenia,Italy,0,0
33,Armenia,Israel,0,0
36,Armenia,Germany,0,0
41,Armenia,Serbia,0,0
42,Armenia,Lithuania,0,0
43,Armenia,Croatia,0,0
46,Armenia,Latvia,0,0
51,Armenia,United Kingdom,0,0
53,Australia,Czech Republic,0,0
55,Australia,Azerbaijan,0,0
56,Australia,Hungary,0,0
57,Australia,Italy,0,0
60,Australia,Sweden,0,0
61,Australia,Germany,0,0
63,Australia,Poland,0,0
64,Australia,Cyprus,0,0
65,Australia,Serbia,0,0
70,Australia,Latvia,0,0
73,Australia,Georgia,0,0
76,Australia,Armenia,0,0
80,Austria,Azerbaijan,0,0
81,Austria,Hungary,0,0
82,Austria,Italy,0,0
83,Austria,Israel,0,0
90,Austria,Cyprus,0,0
95,Austria,Spain,0,0
96,Austria,Latvia,0,0
99,Austria,Georgia,0,0
100,Austria,United Kingdom,0,0
102,Azerbaijan,Belgium,0,0
103,Azerbaijan,Czech Republic,0,0
104,Azerbaijan,The Netherlands,0,0
106,Azerbaijan,Italy,0,0
109,Azerbaijan,Sweden,0,0
110,Azerbaijan,Germany,0,0
114,Azerbaijan,Cyprus,0,0
115,Azerbaijan,Serbia,0,0
117,Azerbaijan,Croatia,0,0
120,Azerbaijan,Latvia,0,0
124,Azerbaijan,Austria,0,0
125,Azerbaijan,United Kingdom,0,0
126,Azerbaijan,Armenia,0,0
128,Belarus,Czech Republic,0,0
129,Belarus,The Netherlands,0,0
132,Belarus,Italy,0,0
133,Belarus,Israel,0,0
136,Belarus,Germany,0,0
137,Belarus,France,0,0
140,Belarus,Cyprus,0,0
141,Belarus,Serbia,0,0
143,Belarus,Croatia,0,0
145,Belarus,Spain,0,0
149,Belarus,Georgia,0,0
150,Belarus,Austria,0,0
151,Belarus,United Kingdom,0,0
155,Belgium,Azerbaijan,0,0
156,Belgium,Hungary,0,0
157,Belgium,Italy,0,0
161,Belgium,Germany,0,0
165,Belgium,Cyprus,0,0
166,Belgium,Serbia,0,0
167,Belgium,Lithuania,0,0
168,Belgium,Croatia,0,0
170,Belgium,Spain,0,0
171,Belgium,Latvia,0,0
173,Belgium,Malta,0,0
176,Belgium,United Kingdom,0,0
178,Bosnia & Herzegovina,Belgium,0,0
180,Bosnia & Herzegovina,The Netherlands,0,0
183,Bosnia & Herzegovina,Italy,0,0
184,Bosnia & Herzegovina,Israel,0,0
186,Bosnia & Herzegovina,Sweden,0,0
187,Bosnia & Herzegovina,Germany,0,0
189,Bosnia & Herzegovina,Poland,0,0
191,Bosnia & Herzegovina,Cyprus,0,0
193,Bosnia & Herzegovina,Lithuania,0,0
196,Bosnia & Herzegovina,Spain,0,0
197,Bosnia & Herzegovina,Latvia,0,0
199,Bosnia & Herzegovina,Malta,0,0
200,Bosnia & Herzegovina,Georgia,0,0
202,Bosnia & Herzegovina,United Kingdom,0,0
205,Bulgaria,Czech Republic,0,0
208,Bulgaria,Hungary,0,0
209,Bulgaria,Italy,0,0
212,Bulgaria,Germany,0,0
213,Bulgaria,France,0,0
219,Bulgaria,Croatia,0,0
222,Bulgaria,Latvia,0,0
227,Bulgaria,United Kingdom,0,0
229,Croatia,Belgium,0,0
231,Croatia,The Netherlands,0,0
232,Croatia,Azerbaijan,0,0
238,Croatia,Germany,0,0
244,Croatia,Lithuania,0,0
246,Croatia,Spain,0,0
247,Croatia,Latvia,0,0
249,Croatia,Malta,0,0
250,Croatia,Georgia,0,0
252,Croatia,United Kingdom,0,0
254,Cyprus,Belgium,0,0
255,Cyprus,Czech Republic,0,0
256,Cyprus,The Netherlands,0,0
263,Cyprus,Germany,0,0
267,Cyprus,Serbia,0,0
271,Cyprus,Spain,0,0
272,Cyprus,Latvia,0,0
275,Cyprus,Georgia,0,0
276,Cyprus,Austria,0,0
277,Cyprus,United Kingdom,0,0
283,Czech Republic,Italy,0,0
284,Czech Republic,Israel,0,0
287,Czech Republic,Germany,0,0
291,Czech Republic,Cyprus,0,0
292,Czech Republic,Serbia,0,0
296,Czech Republic,Spain,0,0
300,Czech Republic,Georgia,0,0
305,Denmark,Czech Republic,0,0
307,Denmark,Azerbaijan,0,0
308,Denmark,Hungary,0,0
309,Denmark,Italy,0,0
313,Denmark,Germany,0,0
317,Denmark,Cyprus,0,0
318,Denmark,Serbia,0,0
320,Denmark,Croatia,0,0
323,Denmark,Latvia,0,0
325,Denmark,Malta,0,0
326,Denmark,Georgia,0,0
329,Denmark,Armenia,0,0
330,Estonia,Belgium,0,0
331,Estonia,Czech Republic,0,0
333,Estonia,Azerbaijan,0,0
334,Estonia,Hungary,0,0
335,Estonia,Italy,0,0
336,Estonia,Israel,0,0
337,Estonia,Bulgaria,0,0
339,Estonia,Germany,0,0
344,Estonia,Serbia,0,0
346,Estonia,Croatia,0,0
348,Estonia,Spain,0,0
352,Estonia,Georgia,0,0
355,Estonia,Armenia,0,0
28,Armenia,Czech Republic,1,0
67,Australia,Croatia,1,0
92,Austria,Lithuania,1,0
119,Azerbaijan,Spain,1,0
218,Bulgaria,Lithuania,1,0
242,Croatia,Cyprus,1,0
269,Cyprus,Croatia,1,0
297,Czech Republic,Latvia,1,0
322,Denmark,Spain,1,0
22,Albania,Malta,2,0
101,Austria,Armenia,2,0
158,Belgium,Israel,2,0
203,Bosnia & Herzegovina,Armenia,2,0
206,Bulgaria,The Netherlands,2,0
257,Cyprus,Azerbaijan,2,0
279,Czech Republic,Belgium,2,0
310,Denmark,Israel,2,0
351,Estonia,Malta,2,0
7,Albania,Israel,3,0
45,Armenia,Spain,3,0
54,Australia,The Netherlands,3,0
225,Bulgaria,Georgia,3,0
234,Croatia,Italy,3,0
259,Cyprus,Italy,3,0
293,Czech Republic,Lithuania,3,0
328,Denmark,United Kingdom,3,0
354,Estonia,United Kingdom,3,0
27,Armenia,Belgium,4,0
78,Austria,Czech Republic,4,0
127,Belarus,Belgium,4,0
221,Bulgaria,Spain,4,0
253,Croatia,Armenia,4,0
302,Czech Republic,United Kingdom,4,0
25,Albania,United Kingdom,5,0
39,Armenia,Australia,5,0
77,Austria,Belgium,5,0
116,Azerbaijan,Lithuania,5,0
148,Belarus,Malta,5,0
217,Bulgaria,Serbia,5,0
260,Cyprus,Israel,5,0
288,Czech Republic,France,5,0
19,Albania,Spain,6,0
93,Austria,Croatia,6,0
179,Bosnia & Herzegovina,Czech Republic,6,0
274,Cyprus,Malta,6,0
299,Czech Republic,Malta,6,0
311,Denmark,Bulgaria,6,0
332,Estonia,The Netherlands,6,0
34,Armenia,Bulgaria,7,0
174,Belgium,Georgia,7,0
224,Bulgaria,Malta,7,0
235,Croatia,Israel,7,0
280,Czech Republic,The Netherlands,7,0
294,Czech Republic,Croatia,8,0
11,Albania,France,10,0
58,Australia,Israel,10,0
98,Austria,Malta,10,0
142,Belarus,Lithuania,10,0
204,Bulgaria,Belgium,10,0
230,Croatia,Czech Republic,10,0
38,Armenia,Poland,0,1
123,Azerbaijan,Georgia,0,1
160,Belgium,Sweden,0,1
182,Bosnia & Herzegovina,Hungary,0,1
207,Bulgaria,Azerbaijan,0,1
236,Croatia,Bulgaria,0,1
262,Cyprus,Sweden,0,1
290,Czech Republic,Australia,0,1
327,Denmark,Austria,0,1
341,Estonia,Poland,0,1
5,Albania,Hungary,1,1
643,Latvia,Bulgaria,1,1
958,Sweden,Spain,1,1
843,San Marino,Hungary,2,1
425,France,Spain,3,1
463,Germany,Italy,3,1
832,Russia,Latvia,3,1
1025,Ukraine,Sweden,4,1
747,Montenegro,France,5,1
139,Belarus,Australia,6,1
586,Israel,Belgium,6,1
66,Australia,Lithuania,7,1
87,Austria,France,7,1
445,Georgia,Australia,8,1
709,Malta,United Kingdom,12,1
978,Switzerland,Australia,12,1
361,F.Y.R. Macedonia,Italy,0,1
395,Finland,Cyprus,0,1
506,Greece,Austria,0,1
518,Hungary,France,0,1
537,Iceland,Azerbaijan,0,1
583,Ireland,Austria,0,1
635,Italy,Armenia,0,1
683,Lithuania,Austria,0,1
730,Moldova,Latvia,0,1
773,Norway,France,0,1
801,Poland,Cyprus,0,1
873,Serbia,Sweden,0,1
895,Slovenia,Italy,0,1
924,Spain,Sweden,0,1
998,The Netherlands,Bulgaria,0,1
1050,United Kingdom,Sweden,0,1
26,Albania,Armenia,0,2
35,Armenia,Sweden,0,2
86,Austria,Germany,0,2
210,Bulgaria,Israel,0,2
265,Cyprus,Poland,0,2
314,Denmark,France,0,2
340,Estonia,France,1,2
557,Iceland,Austria,1,2
1024,Ukraine,Bulgaria,1,2
172,Belgium,Ukraine,3,2
185,Bosnia & Herzegovina,Bulgaria,3,2
487,Greece,Hungary,3,2
889,Serbia,Armenia,3,2
69,Australia,Spain,5,2
416,France,Sweden,5,2
568,Ireland,Sweden,5,2
763,Norway,Belgium,5,2
943,Sweden,The Netherlands,5,2
511,Hungary,The Netherlands,6,2
696,Malta,France,6,2
113,Azerbaijan,Australia,7,2
1055,United Kingdom,Cyprus,7,2
135,Belarus,Sweden,8,2
239,Croatia,France,8,2
897,Slovenia,Bulgaria,10,2
999,The Netherlands,Sweden,10,2
286,Czech Republic,Sweden,12,2
367,F.Y.R. Macedonia,Poland,0,2
401,Finland,Latvia,0,2
437,Georgia,Hungary,0,2
482,Germany,Armenia,0,2
589,Israel,Azerbaijan,0,2
625,Italy,Lithuania,0,2
657,Latvia,Georgia,0,2
665,Lithuania,Hungary,0,2
718,Moldova,Bulgaria,0,2
752,Montenegro,Lithuania,0,2
813,Poland,Armenia,0,2
822,Russia,Sweden,0,2
864,San Marino,Armenia,0,2
938,Spain,Austria,0,2
984,Switzerland,Spain,0,2
9,Albania,Sweden,0,3
31,Armenia,Hungary,0,3
74,Australia,Austria,0,3
131,Belarus,Hungary,0,3
211,Bulgaria,Sweden,0,3
268,Cyprus,Lithuania,0,3
392,Finland,France,1,3
671,Lithuania,France,1,3
112,Azerbaijan,Poland,2,3
534,Iceland,Belgium,3,3
632,Italy,Georgia,3,3
796,Poland,Bulgaria,3,3
343,Estonia,Cyprus,4,3
460,Germany,The Netherlands,4,3
726,Moldova,Lithuania,4,3
175,Belgium,Austria,5,3
233,Croatia,Hungary,5,3
921,Spain,Italy,5,3
902,Slovenia,Australia,6,3
584,Ireland,United Kingdom,7,3
741,Montenegro,Hungary,7,3
824,Russia,France,7,3
368,F.Y.R. Macedonia,Australia,8,3
950,Sweden,France,8,3
190,Bosnia & Herzegovina,Australia,10,3
282,Czech Republic,Hungary,10,3
89,Austria,Australia,12,3
324,Denmark,Ukraine,12,3
520,Hungary,Australia,12,3
1032,Ukraine,Lithuania,12,3
414,France,Israel,0,3
440,Georgia,Bulgaria,0,3
494,Greece,Poland,0,3
608,Israel,Austria,0,3
639,Latvia,Azerbaijan,0,3
688,Malta,The Netherlands,0,3
782,Norway,Latvia,0,3
846,San Marino,Bulgaria,0,3
878,Serbia,Cyprus,0,3
976,Switzerland,France,0,3
1008,The Netherlands,Russia,0,3
1061,United Kingdom,Latvia,0,3
16,Albania,Lithuania,0,4
50,Armenia,Austria,0,4
91,Austria,Serbia,0,4
111,Azerbaijan,France,0,4
226,Bulgaria,Austria,0,4
240,Croatia,Poland,0,4
301,Czech Republic,Austria,0,4
321,Denmark,Russia,0,4
134,Belarus,Bulgaria,1,4
826,Russia,Australia,2,4
75,Australia,United Kingdom,4,4
258,Cyprus,Hungary,4,4
356,F.Y.R. Macedonia,Belgium,4,4
783,Norway,Ukraine,4,4
1001,The Netherlands,France,5,4
1029,Ukraine,Australia,5,4
493,Greece,France,6,4
986,Switzerland,Ukraine,6,4
188,Bosnia & Herzegovina,France,7,4
928,Spain,Australia,8,4
342,Estonia,Australia,10,4
682,Lithuania,Georgia,10,4
164,Belgium,Australia,12,4
389,Finland,Bulgaria,0,4
408,France,Belgium,0,4
444,Georgia,Poland,0,4
465,Germany,Bulgaria,0,4
515,Hungary,Bulgaria,0,4
549,Iceland,Lithuania,0,4
580,Ireland,Ukraine,0,4
596,Israel,Poland,0,4
624,Italy,Serbia,0,4
658,Latvia,Austria,0,4
706,Malta,Ukraine,0,4
734,Moldova,Austria,0,4
742,Montenegro,Italy,0,4
811,Poland,Austria,0,4
847,San Marino,Sweden,0,4
880,Serbia,Croatia,0,4
901,Slovenia,Poland,0,4
948,Sweden,Bulgaria,0,4
1060,United Kingdom,Spain,0,4
12,Albania,Poland,0,5
68,Australia,Russia,0,5
84,Austria,Bulgaria,0,5
146,Belarus,Latvia,0,5
201,Bosnia & Herzegovina,Austria,0,5
285,Czech Republic,Bulgaria,0,5
315,Denmark,Poland,0,5
544,Iceland,France,2,5
744,Montenegro,Bulgaria,2,5
345,Estonia,Lithuania,5,5
448,Georgia,Lithuania,5,5
122,Azerbaijan,Malta,6,5
159,Belgium,Bulgaria,6,5
372,F.Y.R. Macedonia,Croatia,6,5
469,Germany,Australia,6,5
807,Poland,Latvia,6,5
495,Greece,Australia,7,5
620,Italy,France,7,5
48,Armenia,Malta,8,5
215,Bulgaria,Australia,8,5
770,Norway,Bulgaria,8,5
1036,Ukraine,Latvia,8,5
266,Cyprus,Australia,10,5
415,France,Bulgaria,10,5
567,Ireland,Bulgaria,10,5
597,Israel,Australia,10,5
723,Moldova,Australia,10,5
1062,United Kingdom,Ukraine,10,5
241,Croatia,Australia,12,5
673,Lithuania,Australia,12,5
1003,The Netherlands,Australia,12,5
393,Finland,Poland,0,5
521,Hungary,Cyprus,0,5
647,Latvia,Poland,0,5
690,Malta,Hungary,0,5
825,Russia,Poland,0,5
851,San Marino,Australia,0,5
865,Serbia,Belgium,0,5
898,Slovenia,Sweden,0,5
927,Spain,Poland,0,5
963,Sweden,Austria,0,5
977,Switzerland,Poland,0,5
21,Albania,Ukraine,0,6
72,Australia,Malta,0,6
79,Austria,The Netherlands,0,6
138,Belarus,Poland,0,6
169,Belgium,Russia,0,6
214,Bulgaria,Poland,0,6
251,Croatia,Austria,0,6
281,Czech Republic,Azerbaijan,0,6
353,Estonia,Austria,0,6
424,France,Russia,1,6
623,Italy,Cyprus,1,6
503,Greece,Ukraine,2,6
610,Israel,Armenia,2,6
955,Sweden,Lithuania,2,6
107,Azerbaijan,Israel,3,6
672,Lithuania,Poland,3,6
1038,Ukraine,Georgia,3,6
405,Finland,Austria,4,6
195,Bosnia & Herzegovina,Russia,5,6
319,Denmark,Lithuania,5,6
648,Latvia,Australia,5,6
40,Armenia,Cyprus,6,6
877,Serbia,Australia,6,6
264,Cyprus,France,7,6
452,Georgia,Latvia,7,6
477,Germany,Ukraine,7,6
1014,The Netherlands,Austria,8,6
1054,United Kingdom,Australia,8,6
817,Russia,Azerbaijan,10,6
376,F.Y.R. Macedonia,Ukraine,12,6
536,Iceland,The Netherlands,12,6
940,Spain,Armenia,12,6
531,Hungary,Austria,0,6
572,Ireland,Australia,0,6
689,Malta,Azerbaijan,0,6
721,Moldova,France,0,6
753,Montenegro,Croatia,0,6
780,Norway,Russia,0,6
793,Poland,Hungary,0,6
858,San Marino,Latvia,0,6
913,Slovenia,Austria,0,6
983,Switzerland,Russia,0,6
177,Belgium,Armenia,0,7
216,Bulgaria,Cyprus,0,7
237,Croatia,Sweden,0,7
273,Cyprus,Ukraine,0,7
289,Czech Republic,Poland,0,7
579,Ireland,Latvia,1,7
971,Switzerland,Italy,2,7
152,Belarus,Armenia,3,7
1011,The Netherlands,Ukraine,3,7
105,Azerbaijan,Hungary,4,7
516,Hungary,Sweden,4,7
827,Russia,Cyprus,4,7
736,Moldova,Armenia,5,7
62,Australia,France,6,7
18,Albania,Russia,7,7
306,Denmark,The Netherlands,7,7
592,Israel,Bulgaria,7,7
85,Austria,Sweden,8,7
349,Estonia,Latvia,8,7
394,Finland,Australia,8,7
551,Iceland,Russia,8,7
644,Latvia,Sweden,8,7
691,Malta,Italy,8,7
800,Poland,Australia,10,7
37,Armenia,France,12,7
198,Bosnia & Herzegovina,Ukraine,12,7
884,Serbia,Ukraine,12,7
910,Slovenia,Ukraine,12,7
381,F.Y.R. Macedonia,Armenia,0,7
418,France,Poland,0,7
436,Georgia,Azerbaijan,0,7
480,Germany,Austria,0,7
490,Greece,Bulgaria,0,7
617,Italy,Bulgaria,0,7
669,Lithuania,Sweden,0,7
740,Montenegro,Azerbaijan,0,7
771,Norway,Sweden,0,7
850,San Marino,Poland,0,7
935,Spain,Ukraine,0,7
960,Sweden,Ukraine,0,7
1041,Ukraine,Armenia,0,7
1059,United Kingdom,Russia,0,7
303,Czech Republic,Armenia,0,8
181,Bosnia & Herzegovina,Azerbaijan,1,8
71,Australia,Ukraine,2,8
130,Belarus,Azerbaijan,2,8
1016,The Netherlands,Armenia,2,8
94,Austria,Russia,3,8
8,Albania,Bulgaria,4,8
872,Serbia,Bulgaria,4,8
933,Spain,Russia,4,8
1049,United Kingdom,Bulgaria,5,8
245,Croatia,Russia,6,8
957,Sweden,Russia,6,8
350,Estonia,Ukraine,7,8
108,Azerbaijan,Bulgaria,8,8
162,Belgium,France,8,8
278,Cyprus,Armenia,8,8
304,Denmark,Belgium,8,8
430,France,Austria,8,8
49,Armenia,Georgia,10,8
466,Germany,Sweden,10,8
508,Greece,Armenia,10,8
546,Iceland,Australia,10,8
651,Latvia,Lithuania,10,8
693,Malta,Bulgaria,10,8
